FECHA,HORA,SENSOR,TEMPERATURA,UNIDAD,HUMEDAD_%,ESTADO_BATERIA,DEVICE_ID,OTROS_DATOS
20/02/2026,15:45:07,Interior,26.4,C,53,Alta,eb849849b3155b7110det4,
20/02/2026,16:00:06,Balcón,29,C,43,Media,eb007de949df61414afvyg,
20/02/2026,16:00:06,Interior,26.7,C,53,Alta,eb849849b3155b7110det4,
20/02/2026,16:15:07,Balcón,29,C,43,Media,eb007de949df61414afvyg,
20/02/2026,16:15:07,Interior,26.7,C,53,Alta,eb849849b3155b7110det4,
20/02/2026,16:30:07,Balcón,29.5,C,44,Media,eb007de949df61414afvyg,
20/02/2026,16:30:07,Interior,26.7,C,53,Alta,eb849849b3155b7110det4,
20/02/2026,16:45:06,Balcón,29.5,C,44,Media,eb007de949df61414afvyg,
20/02/2026,16:45:06,Interior,26.7,C,53,Alta,eb849849b3155b7110det4,
20/02/2026,17:00:12,Balcón,29.5,C,44,Media,eb007de949df61414afvyg,
20/02/2026,17:00:12,Interior,26.9,C,55,Alta,eb849849b3155b7110det4,
20/02/2026,17:15:07,Balcón,29.5,C,44,Media,eb007de949df61414afvyg,
20/02/2026,17:15:07,Interior,26.9,C,55,Alta,eb849849b3155b7110det4,
20/02/2026,17:30:06,Balcón,29.1,C,46,Media,eb007de949df61414afvyg,
20/02/2026,17:30:06,Interior,26.9,C,55,Alta,eb849849b3155b7110det4,
20/02/2026,17:45:07,Balcón,29.1,C,46,Media,eb007de949df61414afvyg,
20/02/2026,17:45:07,Interior,27.4,C,55,Alta,eb849849b3155b7110det4,
20/02/2026,18:00:06,Balcón,29.1,C,46,Media,eb007de949df61414afvyg,
20/02/2026,18:00:06,Interior,27.4,C,55,Alta,eb849849b3155b7110det4,
20/02/2026,18:15:06,Balcón,28.6,C,46,Media,eb007de949df61414afvyg,
20/02/2026,18:15:06,Interior,27.4,C,55,Alta,eb849849b3155b7110det4,
20/02/2026,18:30:07,Balcón,28.6,C,46,Media,eb007de949df61414afvyg,
20/02/2026,18:30:07,Interior,27.4,C,55,Alta,eb849849b3155b7110det4,
20/02/2026,18:45:07,Balcón,28.6,C,46,Media,eb007de949df61414afvyg,
20/02/2026,18:45:07,Interior,27.7,C,55,Alta,eb849849b3155b7110det4,
20/02/2026,19:00:06,Balcón,28.6,C,46,Media,eb007de949df61414afvyg,
20/02/2026,19:00:06,Interior,27.7,C,55,Alta,eb849849b3155b7110det4,
20/02/2026,19:15:06,Balcón,28.1,C,49,Media,eb007de949df61414afvyg,
20/02/2026,19:15:06,Interior,28,C,60,Alta,eb849849b3155b7110det4,
20/02/2026,19:30:07,Balcón,27.1,C,49,Media,eb007de949df61414afvyg,
20/02/2026,19:30:07,Interior,28,C,60,Alta,eb849849b3155b7110det4,
20/02/2026,19:45:07,Balcón,26.6,C,49,Media,eb007de949df61414afvyg,
20/02/2026,19:45:07,Interior,28,C,60,Alta,eb849849b3155b7110det4,
20/02/2026,20:00:06,Balcón,26.1,C,51,Media,eb007de949df61414afvyg,
20/02/2026,20:00:06,Interior,27.7,C,55,Alta,eb849849b3155b7110det4,
20/02/2026,20:15:06,Balcón,26.1,C,51,Media,eb007de949df61414afvyg,
20/02/2026,20:15:06,Interior,27.2,C,53,Alta,eb849849b3155b7110det4,
20/02/2026,20:30:06,Balcón,25.6,C,52,Media,eb007de949df61414afvyg,
20/02/2026,20:30:06,Interior,27.2,C,53,Alta,eb849849b3155b7110det4,
20/02/2026,20:45:07,Balcón,25.6,C,52,Media,eb007de949df61414afvyg,
20/02/2026,20:45:07,Interior,26.7,C,51,Media,eb849849b3155b7110det4,
20/02/2026,21:00:06,Balcón,25.6,C,52,Media,eb007de949df61414afvyg,
20/02/2026,21:00:06,Interior,26.7,C,51,Media,eb849849b3155b7110det4,
20/02/2026,21:15:06,Balcón,25.1,C,55,Media,eb007de949df61414afvyg,
20/02/2026,21:15:06,Interior,26.7,C,51,Media,eb849849b3155b7110det4,
20/02/2026,21:30:06,Balcón,25.1,C,55,Media,eb007de949df61414afvyg,
20/02/2026,21:30:06,Interior,26.7,C,51,Media,eb849849b3155b7110det4,
20/02/2026,21:45:07,Balcón,25.1,C,55,Media,eb007de949df61414afvyg,
20/02/2026,21:45:07,Interior,26.4,C,53,Alta,eb849849b3155b7110det4,
20/02/2026,22:00:06,Balcón,25.1,C,55,Media,eb007de949df61414afvyg,
20/02/2026,22:00:06,Interior,26.4,C,53,Alta,eb849849b3155b7110det4,
20/02/2026,22:15:07,Balcón,24.7,C,57,Media,eb007de949df61414afvyg,
20/02/2026,22:15:07,Interior,26.4,C,53,Alta,eb849849b3155b7110det4,
20/02/2026,22:30:07,Balcón,24.7,C,57,Media,eb007de949df61414afvyg,
20/02/2026,22:30:07,Interior,26.4,C,53,Alta,eb849849b3155b7110det4,
20/02/2026,22:45:06,Balcón,24.7,C,57,Media,eb007de949df61414afvyg,
20/02/2026,22:45:06,Interior,26.3,C,54,Alta,eb849849b3155b7110det4,
20/02/2026,23:00:06,Balcón,24.7,C,57,Media,eb007de949df61414afvyg,
20/02/2026,23:00:06,Interior,26.3,C,54,Alta,eb849849b3155b7110det4,
20/02/2026,23:15:07,Balcón,24.8,C,58,Media,eb007de949df61414afvyg,
20/02/2026,23:15:07,Interior,26.3,C,54,Alta,eb849849b3155b7110det4,
20/02/2026,23:30:07,Balcón,24.8,C,58,Media,eb007de949df61414afvyg,
20/02/2026,23:30:07,Interior,26.1,C,55,Media,eb849849b3155b7110det4,
20/02/2026,23:45:06,Balcón,24.8,C,58,Media,eb007de949df61414afvyg,
20/02/2026,23:45:06,Interior,26.1,C,55,Media,eb849849b3155b7110det4,
21/02/2026,24:00:12,Balcón,24.4,C,58,Media,eb007de949df61414afvyg,
21/02/2026,24:00:12,Interior,26.1,C,55,Media,eb849849b3155b7110det4,
21/02/2026,24:15:06,Balcón,23.9,C,60,Media,eb007de949df61414afvyg,
21/02/2026,24:15:06,Interior,26.1,C,55,Media,eb849849b3155b7110det4,
21/02/2026,24:30:07,Balcón,23.9,C,60,Media,eb007de949df61414afvyg,
21/02/2026,24:30:07,Interior,26.5,C,55,Media,eb849849b3155b7110det4,
21/02/2026,24:45:06,Balcón,23.9,C,60,Media,eb007de949df61414afvyg,
21/02/2026,24:45:06,Interior,26.5,C,55,Media,eb849849b3155b7110det4,
21/02/2026,01:00:07,Balcón,23.9,C,60,Media,eb007de949df61414afvyg,
21/02/2026,01:00:07,Interior,26.5,C,55,Media,eb849849b3155b7110det4,
21/02/2026,01:15:06,Balcón,23.9,C,59,Media,eb007de949df61414afvyg,
21/02/2026,01:15:06,Interior,26.5,C,55,Media,eb849849b3155b7110det4,
21/02/2026,01:30:07,Balcón,23.9,C,59,Media,eb007de949df61414afvyg,
21/02/2026,01:30:07,Interior,26.6,C,56,Alta,eb849849b3155b7110det4,
21/02/2026,01:45:07,Balcón,23.9,C,59,Media,eb007de949df61414afvyg,
21/02/2026,01:45:07,Interior,26.6,C,56,Alta,eb849849b3155b7110det4,
21/02/2026,02:00:06,Balcón,23.9,C,59,Media,eb007de949df61414afvyg,
21/02/2026,02:00:06,Interior,26.6,C,56,Alta,eb849849b3155b7110det4,
21/02/2026,02:15:07,Balcón,23.5,C,58,Media,eb007de949df61414afvyg,
21/02/2026,02:15:07,Interior,26.5,C,56,Alta,eb849849b3155b7110det4,
21/02/2026,02:30:07,Balcón,23.5,C,58,Media,eb007de949df61414afvyg,
21/02/2026,02:30:07,Interior,26.5,C,56,Alta,eb849849b3155b7110det4,
21/02/2026,02:45:06,Balcón,23.5,C,58,Media,eb007de949df61414afvyg,
21/02/2026,02:45:06,Interior,26.5,C,56,Alta,eb849849b3155b7110det4,
21/02/2026,03:00:06,Balcón,23,C,57,Media,eb007de949df61414afvyg,
21/02/2026,03:00:06,Interior,26.5,C,56,Alta,eb849849b3155b7110det4,
21/02/2026,03:15:06,Balcón,23,C,52,Media,eb007de949df61414afvyg,
